Date,Open,High,Low,Close,Volume
1/2/2023 15:30:00,28681.55,28777.6,28474.7,28737.3,0
1/3/2023 15:30:00,28713.7,29032.4,28636.4,28962.3,0
1/4/2023 15:30:00,28912.6,28925.45,28600.75,28677.8,0
1/5/2023 15:30:00,28803.05,28803.05,28386,28527.75,0
1/6/2023 15:30:00,28466.9,28507.15,27908.75,27956.45,0
1/9/2023 15:30:00,28134.05,28780,28134.05,28748.15,0
1/10/2023 15:30:00,28627.8,28661.7,28242.9,28502.7,0
1/11/2023 15:30:00,28550.65,28946,28460,28596.35,0
1/12/2023 15:30:00,28722.45,28832.6,28509.5,28720.3,0
1/13/2023 15:30:00,28717,29060.95,28292.3,28933.75,0
1/16/2023 15:30:00,29037.05,29327.9,28895.4,29264.65,0
1/17/2023 15:30:00,29291.15,29518.85,29259.1,29498,0
1/18/2023 15:30:00,29580.25,29715.8,29541.95,29617.8,0
1/19/2023 15:30:00,29487.5,29714.95,29396.05,29632.35,0
1/20/2023 15:30:00,29574.45,29783.8,29479.7,29529.65,0
1/23/2023 15:30:00,29620.25,30124.05,29505.5,30086,0
1/24/2023 15:30:00,30220.5,30499.75,30151.55,30316.9,0
1/25/2023 15:30:00,30208.1,30231.4,30004.75,30043.9,0
1/27/2023 15:30:00,30052.7,30234.35,29542.45,29766.45,0
1/30/2023 15:30:00,29842.7,30224.5,29606.35,30094.85,0
1/31/2023 15:30:00,30163.2,30172.75,29556.3,29740.35,0
2/1/2023 15:30:00,29885.95,30083.4,29659,30018.25,0
2/2/2023 15:30:00,30124.9,30610.1,30107.1,30566.75,0
2/3/2023 15:30:00,30839.05,30849.6,30417.9,30597.65,0
2/6/2023 15:30:00,30502.9,30534.7,30186.7,30411.1,0
2/7/2023 15:30:00,30429.75,30544.1,30250.75,30310.7,0
2/8/2023 15:30:00,30415.6,30938.4,30415.6,30774.05,0
2/9/2023 15:30:00,30769.8,31012.95,30665.45,30990.85,0
2/10/2023 15:30:00,30839.25,30900.15,30636.4,30870.2,0
2/13/2023 15:30:00,30790.2,30792.85,30238.05,30289.65,0
2/14/2023 15:30:00,30481.5,30759.45,30457.4,30588.75,0
2/15/2023 15:30:00,30512,30959.3,30324.2,30934.35,0
2/16/2023 15:30:00,31042.3,31587.35,31024.15,31434.85,0
2/17/2023 15:30:00,31147.1,31218.25,30963.05,31054.85,0
2/20/2023 15:30:00,31056.05,31405.3,30961.95,31222.35,0
2/21/2023 15:30:00,31318.35,31393,30911.05,30947.25,0
